epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,909.33,1.50538,2.76046,1.40043,0.64547,0.48627,0.49153,0.28146,1.42632,2.22155,1.36089,0.000300866,0.000300866,0.000300866
2,1807.46,1.37163,1.64133,1.27941,0.7501,0.55202,0.59499,0.34246,1.40688,1.76582,1.34068,0.000573975,0.000573975,0.000573975
3,2619.48,1.36138,1.50982,1.26761,0.77536,0.54662,0.60991,0.35822,1.39957,1.71194,1.31755,0.000817086,0.000817086,0.000817086
4,3516.36,1.33148,1.35658,1.24388,0.73831,0.61531,0.68256,0.41183,1.35039,1.47131,1.28986,0.000774013,0.000774013,0.000774013
5,4414.7,1.3052,1.23684,1.22341,0.72864,0.70701,0.75112,0.46207,1.25182,1.21038,1.23833,0.000729018,0.000729018,0.000729018
6,5302.38,1.25903,1.14741,1.20299,0.85392,0.65521,0.74701,0.45774,1.25993,1.16576,1.2398,0.000684022,0.000684022,0.000684022
7,6084.3,1.22907,1.08778,1.1927,0.82237,0.70828,0.76991,0.47947,1.26516,1.08347,1.24482,0.000639027,0.000639027,0.000639027
8,6872.59,1.21468,1.01115,1.17247,0.75615,0.75076,0.78115,0.47762,1.23189,1.00719,1.21245,0.000594031,0.000594031,0.000594031
9,7654.85,1.20504,0.98149,1.16918,0.8368,0.76227,0.81127,0.50376,1.19283,0.91934,1.17065,0.000549036,0.000549036,0.000549036
10,8437.89,1.16623,0.93979,1.15061,0.86802,0.75626,0.82405,0.51277,1.16272,0.90826,1.15542,0.00050404,0.00050404,0.00050404
11,9213.99,1.15971,0.86631,1.14627,0.84846,0.76689,0.82349,0.52634,1.14407,0.86302,1.15214,0.000459045,0.000459045,0.000459045
12,9989.09,1.13015,0.81664,1.12634,0.92493,0.75148,0.84161,0.54943,1.124,0.81607,1.12992,0.000414049,0.000414049,0.000414049
13,10775,1.11158,0.77936,1.12362,0.89688,0.76599,0.83891,0.55132,1.11435,0.78406,1.12596,0.000369054,0.000369054,0.000369054
14,11568.4,1.09413,0.75238,1.11311,0.82542,0.81701,0.86112,0.55331,1.10479,0.75215,1.12063,0.000324058,0.000324058,0.000324058
15,12367.4,1.06323,0.71438,1.09211,0.85547,0.80143,0.85878,0.56526,1.07643,0.72426,1.10479,0.000279063,0.000279063,0.000279063
16,13147.6,1.0589,0.69598,1.08662,0.90364,0.81177,0.87851,0.57403,1.08172,0.73069,1.11373,0.000234068,0.000234068,0.000234068
17,13944.9,1.02694,0.67428,1.07258,0.90423,0.78993,0.86075,0.57888,1.06843,0.70002,1.10391,0.000189072,0.000189072,0.000189072
18,14726.8,1.00521,0.64141,1.05961,0.90425,0.80286,0.86963,0.57938,1.06119,0.67624,1.0937,0.000144077,0.000144077,0.000144077
19,15525.8,0.99594,0.62916,1.05481,0.85986,0.83215,0.88047,0.59543,1.05162,0.65744,1.083,9.9081e-05,9.9081e-05,9.9081e-05
20,16332.9,0.98462,0.61127,1.04655,0.90407,0.80462,0.88248,0.59757,1.04365,0.65195,1.07798,5.40855e-05,5.40855e-05,5.40855e-05
