epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1190.07,1.0645,0.75305,1.08811,0.83904,0.80361,0.85263,0.55597,1.09836,0.73268,1.11894,0.000300866,0.000300866,0.000300866
2,2351.49,1.11763,0.81506,1.11417,0.86346,0.7641,0.82816,0.52643,1.15709,0.82072,1.16029,0.000588921,0.000588921,0.000588921
3,3882.7,1.16709,0.87774,1.14056,0.81262,0.74716,0.804,0.50678,1.17192,0.86255,1.17116,0.000861976,0.000861976,0.000861976
4,8847.48,1.16851,0.89216,1.14497,0.80065,0.73832,0.80077,0.51518,1.17373,0.88583,1.17206,0.000841507,0.000841507,0.000841507
5,9886.32,1.15567,0.86579,1.13328,0.83771,0.73083,0.80403,0.52076,1.20108,0.85448,1.17562,0.000819009,0.000819009,0.000819009
6,10926.9,1.15824,0.86599,1.13537,0.85973,0.73634,0.79635,0.51309,1.19323,0.85625,1.18287,0.000796511,0.000796511,0.000796511
7,11954,1.15387,0.8483,1.14089,0.91498,0.69565,0.79173,0.5141,1.15919,0.8506,1.15856,0.000774013,0.000774013,0.000774013
8,12974.2,1.14553,0.82867,1.13162,0.85725,0.78329,0.8315,0.53873,1.15997,0.82296,1.16294,0.000751516,0.000751516,0.000751516
9,14043.9,1.14201,0.808,1.1267,0.83027,0.7892,0.84373,0.54466,1.13154,0.77095,1.14318,0.000729018,0.000729018,0.000729018
10,19853,1.12616,0.80375,1.12244,0.88042,0.77802,0.83725,0.54971,1.13878,0.79383,1.1292,0.00070652,0.00070652,0.00070652
11,20904.6,1.12173,0.78901,1.12236,0.84077,0.79797,0.84082,0.55658,1.10786,0.75,1.13096,0.000684022,0.000684022,0.000684022
12,21883.4,1.10696,0.77087,1.11161,0.89938,0.78127,0.84145,0.54606,1.12452,0.74563,1.13464,0.000661525,0.000661525,0.000661525
13,22856.2,1.09451,0.74919,1.09713,0.86932,0.7895,0.84324,0.55008,1.12923,0.73918,1.1367,0.000639027,0.000639027,0.000639027
14,23823.4,1.09594,0.73928,1.10507,0.85314,0.7674,0.83152,0.55525,1.10138,0.70448,1.12029,0.000616529,0.000616529,0.000616529
15,24796.4,1.08722,0.72117,1.09626,0.85058,0.81071,0.84703,0.5694,1.10674,0.70096,1.11969,0.000594031,0.000594031,0.000594031
16,25771.9,1.06424,0.70512,1.08418,0.86503,0.78721,0.84055,0.55292,1.11712,0.71758,1.13871,0.000571534,0.000571534,0.000571534
17,26742.4,1.06472,0.71069,1.09067,0.87542,0.80178,0.8487,0.56271,1.10279,0.70473,1.12939,0.000549036,0.000549036,0.000549036
18,27712,1.06657,0.69942,1.08734,0.90682,0.79548,0.87646,0.58631,1.07928,0.66609,1.09981,0.000526538,0.000526538,0.000526538
19,28681.1,1.04689,0.67471,1.07612,0.88123,0.82813,0.88393,0.58092,1.07864,0.66458,1.10848,0.00050404,0.00050404,0.00050404
20,29654.4,1.04642,0.6773,1.07625,0.92024,0.79843,0.87108,0.57856,1.07002,0.65586,1.09827,0.000481543,0.000481543,0.000481543
21,30624.7,1.04474,0.66699,1.07488,0.87089,0.83494,0.86309,0.58105,1.06671,0.64974,1.1013,0.000459045,0.000459045,0.000459045
22,31607.3,1.02744,0.65736,1.05927,0.91862,0.82089,0.8883,0.59547,1.06156,0.62582,1.08689,0.000436547,0.000436547,0.000436547
23,32580.8,1.018,0.64965,1.06294,0.90529,0.81991,0.87941,0.59107,1.07069,0.63344,1.10038,0.000414049,0.000414049,0.000414049
24,33551.8,1.0097,0.62793,1.05683,0.89795,0.8272,0.87768,0.58671,1.0491,0.63887,1.08983,0.000391552,0.000391552,0.000391552
25,34521.9,1.01018,0.63777,1.05794,0.86905,0.84921,0.88755,0.59683,1.05117,0.61568,1.08408,0.000369054,0.000369054,0.000369054
26,35494.4,0.99502,0.61997,1.04983,0.90667,0.86317,0.89863,0.60612,1.04677,0.61213,1.07923,0.000346556,0.000346556,0.000346556
27,36468,1.00203,0.6242,1.05151,0.89109,0.83776,0.89327,0.60394,1.04355,0.60841,1.07701,0.000324058,0.000324058,0.000324058
28,37433.2,0.97761,0.61051,1.04383,0.87352,0.851,0.89145,0.60955,1.03334,0.60564,1.07269,0.000301561,0.000301561,0.000301561
29,38401.6,0.97563,0.59812,1.04241,0.92716,0.82387,0.89486,0.61358,1.03414,0.59458,1.07537,0.000279063,0.000279063,0.000279063
30,39366.7,0.96352,0.59016,1.03837,0.89764,0.84382,0.88819,0.61135,1.02245,0.58343,1.06794,0.000256565,0.000256565,0.000256565
31,40323.3,0.95345,0.53946,1.02696,0.92247,0.84631,0.9048,0.61801,1.02016,0.58472,1.06784,0.000234068,0.000234068,0.000234068
32,41274.6,0.93471,0.5187,1.01648,0.91362,0.83726,0.90194,0.62595,1.01823,0.56936,1.06521,0.00021157,0.00021157,0.00021157
33,42229.9,0.93113,0.50864,1.0157,0.91638,0.86208,0.90976,0.62757,1.02439,0.57593,1.07214,0.000189072,0.000189072,0.000189072
34,43181.9,0.91727,0.50123,1.00771,0.90795,0.85336,0.90286,0.62396,1.01376,0.56866,1.07033,0.000166574,0.000166574,0.000166574
35,44154,0.90814,0.49513,1.00873,0.93067,0.83715,0.89506,0.62076,1.01311,0.56613,1.06513,0.000144077,0.000144077,0.000144077
36,45110.2,0.8963,0.48503,0.99964,0.9285,0.83251,0.90445,0.62929,1.00111,0.554,1.05953,0.000121579,0.000121579,0.000121579
37,46064.6,0.88301,0.47358,0.99404,0.89761,0.87445,0.91294,0.63229,1.00278,0.54869,1.05824,9.9081e-05,9.9081e-05,9.9081e-05
